Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;IP2;IP3
105.net;10700000;10687974.0;89.97;2.4;23078328;27.47;3.07;30.58;18.83;20.0;0.0;0.04;87.98.131.91;;
123rf.com;186800000;186757680.0;3.29;3.5;21505146;17.31;0.27;4.7;1.1;75.98;0.45;0.19;103.14.245.12;;
1tv.ru;228800000;228840516.0;0.63;2.3;3315899;38.46;0.64;17.68;3.6;39.59;0.0;0.03;195.16.108.152;81.177.156.117;81.177.156.116
24video.xxx;203200000;203189274.0;0.28;6.72;3823209;21.34;0.17;14.64;0.88;62.86;0.0;0.1;5.35.172.145;;
300mbfilms.co;34800000;34834992.0;0.01;3.43;0;85.12;0.33;11.89;0.7;1.57;0.0;0.39;195.154.177.95;;
3sk.tv;114700000;114740430.0;0.45;4.03;2080817;41.67;0.24;26.47;6.94;24.08;0.0;0.59;104.25.126.11;104.25.127.11;
500px.com;128900000;128930202.0;3.17;10.72;43813576;51.11;1.59;19.18;16.37;11.47;0.12;0.16;198.50.208.98;;
6play.fr;80200000;80222814.0;0.12;4.32;415875;39.07;0.49;12.52;1.13;46.75;0.0;0.05;141.138.91.58;;
6vhao.com;44900000;44857302.0;0.08;3.07;110169;71.08;0.15;18.34;0.43;9.98;0.0;0.01;119.28.48.229;;
720pizle.com;60700000;60696666.0;0.04;3.81;92501;40.27;0.11;14.23;1.15;43.79;0.0;0.45;104.18.37.13;104.18.36.13;
9gag.com;1700000000;1661507568.0;1.19;3.88;76715127;50.21;0.38;12.11;33.39;3.88;0.0;0.04;54.93.159.225;52.58.21.109;52.58.59.101
abc.go.com;112900000;112947804.0;0.29;3.43;1123491;28.96;1.3;24.24;3.45;41.99;0.0;0.06;23.23.144.62;184.73.202.169;23.21.117.90
aclst.com;99300000;99287646.0;2.42;5.24;12590467;90.55;0.0;7.93;1.15;0.35;0.0;0.01;;;
acunn.com;98600000;98559594.0;0.03;5.51;162919;26.75;0.13;7.94;31.37;33.69;0.0;0.12;213.155.122.4;;
adorocinema.com;161600000;161630910.0;0.04;2.83;182966;6.27;0.08;2.58;26.17;64.65;0.01;0.23;208.48.167.220;;
agenziaentrate.gov.it;54000000;53963556.0;98.41;13.1;695682514;36.38;0.87;20.06;0.26;42.36;0.0;0.07;217.175.53.65;;
allmyvideos.net;216300000;216330306.0;0.79;1.96;3349658;5.2;0.36;89.93;1.38;0.44;0.0;2.69;188.164.249.147;;
allocine.fr;370300000;370322940.0;0.2;4.15;3073680;26.76;0.24;9.15;3.83;59.91;0.01;0.11;62.39.143.23;;
angolotesti.it;31400000;31424700.0;93.5;1.57;46129888;5.35;0.02;1.32;0.17;93.04;0.0;0.11;95.211.90.150;;
animeclick.it;9200000;9233394.0;94.37;3.52;30671709;56.77;0.15;9.21;6.24;27.57;0.0;0.06;149.202.208.137;;
animeforce.org;11300000;11296776.0;97.75;3.93;43397412;65.83;0.19;21.42;2.33;4.02;0.0;6.22;104.28.10.66;104.28.11.66;
animefreak.tv;76200000;76233906.0;0.68;4.38;2270550;61.52;0.72;29.38;3.5;4.56;0.0;0.32;185.85.237.122;;
aparat.com;79600000;79614258.0;0.09;5.68;406988;26.51;0.4;16.09;0.67;55.99;0.0;0.33;46.224.3.195;;
arabseed.com;61400000;61432440.0;0.13;4.12;329032;64.38;0.15;16.56;1.94;15.97;0.0;0.99;104.20.10.235;104.20.9.235;
armagedomfilmes.biz;84100000;84089820.0;0.09;4.37;330725;41.73;0.39;19.18;2.5;35.28;0.0;0.93;104.24.126.209;104.24.127.209;
arte.tv;82300000;82300536.0;0.64;3.33;1753989;47.61;0.45;19.36;9.25;22.99;0.21;0.13;212.95.74.37;;
attivissimo.blogspot.it;4700000;4700214.0;98.83;1.52;7060736;71.68;0.03;9.34;4.2;14.74;0.0;0.01;172.217.20.129;;
atv.com.tr;103300000;103331016.0;0.06;3.88;240554;18.78;0.17;20.46;3.14;57.21;0.0;0.24;185.59.72.133;;
azlyrics.com;977800000;977782812.0;1.85;1.64;29665930;6.55;0.04;1.45;0.27;91.6;0.0;0.09;5.79.69.118;;
