Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;ASN1;Netblock1;Country1;Company1;IP2;ASN2;Netblock2;Country2;Company2;IP3;ASN3;Netblock3;Country3;Company3
105.net;10700000;10687974.0;89.97;2.4;23078328;27.47;3.07;30.58;18.83;20.0;0.0;0.04;87.98.131.91;16276;87.98.128.0/17;FR;OVH , FR;;;;;;;;;;
123rf.com;186800000;186757680.0;3.29;3.5;21505146;17.31;0.27;4.7;1.1;75.98;0.45;0.19;103.14.245.12;24482;103.14.244.0/23;SG;SGGS-AS-AP SG.GS, SG;;;;;;;;;;
1tv.ru;228800000;228840516.0;0.63;2.3;3315899;38.46;0.64;17.68;3.6;39.59;0.0;0.03;195.16.108.152;25159;195.16.96.0/19;RU;SONICDUO-AS , RU;81.177.156.117;8342;81.177.128.0/19;RU;RTCOMM-AS , RU;81.177.156.116;8342;81.177.128.0/19;RU;RTCOMM-AS , RU
24video.xxx;203200000;203189274.0;0.28;6.72;3823209;21.34;0.17;14.64;0.88;62.86;0.0;0.1;5.35.172.145;58143;5.35.172.0/24;RU;MEDIABRIDGE-AS ****************************************************, RU;;;;;;;;;;
300mbfilms.co;34800000;34834992.0;0.01;3.43;0;85.12;0.33;11.89;0.7;1.57;0.0;0.39;195.154.177.95;12876;195.154.0.0/16;FR;AS12876 , FR;;;;;;;;;;
3sk.tv;114700000;114740430.0;0.45;4.03;2080817;41.67;0.24;26.47;6.94;24.08;0.0;0.59;104.25.126.11;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.127.11;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
500px.com;128900000;128930202.0;3.17;10.72;43813576;51.11;1.59;19.18;16.37;11.47;0.12;0.16;198.50.208.98;16276;198.50.128.0/17;CA;OVH , FR;;;;;;;;;;
6play.fr;80200000;80222814.0;0.12;4.32;415875;39.07;0.49;12.52;1.13;46.75;0.0;0.05;141.138.91.58;30972;141.138.88.0/21;FR;M6WEB , FR;;;;;;;;;;
6vhao.com;44900000;44857302.0;0.08;3.07;110169;71.08;0.15;18.34;0.43;9.98;0.0;0.01;119.28.48.229;133478;119.28.48.0/23;CN;COMSENZ-AS-AP Comsenz, CN;;;;;;;;;;
720pizle.com;60700000;60696666.0;0.04;3.81;92501;40.27;0.11;14.23;1.15;43.79;0.0;0.45;104.18.37.13;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.36.13;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
